DATE,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1988-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-01-01,0.083848,0.085145,0.070611,0.047051,0.048596,0.072815,0.080786,0.069576,0.09412,0.084016,0.06145,0.101731,0.087534,0.090407,0.065076,0.082512,0.054116,0.075512,0.069283,0.052101,0.065183,0.075331,0.072566,0.081533,0.068805,0.082645,0.102278,0.076209,0.135156,0.058744,0.049944,0.070844,0.061353,0.064469,0.078072,0.072199,0.069061,0.07905,0.081053,0.083493,0.07432,0.078268,0.066397,0.059367,0.062774,0.066914,0.088919,0.080066,0.082375,0.072352,0.107269
1990-01-01,0.049283,0.059098,0.049304,0.032064,0.045809,0.049728,0.02961,0.077301,0.037212,0.037152,0.053344,0.074282,0.050164,0.061411,0.058131,0.049575,0.058688,0.056872,0.084345,0.029392,0.044957,0.0318,0.040135,0.050609,0.038185,0.050838,0.051594,0.047268,0.097434,0.067321,0.000774,0.045794,0.054706,0.044825,0.06921,0.056256,0.054916,0.05461,0.056137,0.024879,0.061141,0.095055,0.055191,0.06415,0.069042,0.035682,0.026412,0.063766,0.0478,0.07357,0.08961
1991-01-01,0.013401,0.045712,0.047329,0.024716,0.01834,0.036033,0.00845,0.053988,0.037927,0.017405,0.028153,0.037493,0.018211,0.023168,0.011986,0.020886,0.02826,0.047982,0.047387,0.017088,0.022637,0.013917,0.01386,0.020473,0.037004,0.046432,0.055139,0.028431,0.017284,0.028562,0.037619,0.014058,0.048079,0.035979,-0.003918,0.01654,0.022918,0.029362,0.035827,0.006007,0.024773,0.033629,0.037343,0.026474,0.043922,0.029367,0.013881,0.045996,0.028099,0.040255,0.038254
1992-01-01,0.030147,0.059632,0.07301,0.030544,0.035974,0.050686,0.072328,0.054819,0.023882,0.034959,0.05531,0.054056,0.062848,0.066719,0.067588,0.069593,0.060558,0.063451,0.059661,0.046916,0.036611,0.045235,0.049348,0.060235,0.053068,0.064982,0.039331,0.069196,0.09027,0.050489,0.040263,0.063578,0.046123,0.060706,0.048205,0.055447,0.047278,0.04506,0.04791,0.042778,0.048531,0.065715,0.074132,0.057388,0.046415,0.043726,0.060772,0.050641,0.064,0.070681,0.038702
1993-01-01,0.032732,0.030841,0.031282,0.034833,0.014384,0.046667,0.029783,0.043911,0.021571,0.038968,0.03737,0.023848,-0.002097,0.059084,0.025755,0.042071,0.036359,0.026326,0.043399,0.033925,0.029806,0.029507,0.04604,0.01665,0.034805,0.05208,0.057412,0.04396,0.008521,0.024332,0.021906,0.024383,0.04832,0.035359,0.020399,0.034474,0.029099,0.046088,0.031688,0.039615,0.038715,0.031686,0.045813,0.035003,0.043441,0.035284,0.029691,0.027723,0.03972,0.03061,0.042269
1994-01-01,0.026819,0.046754,0.047094,0.048193,0.024619,0.043259,0.025961,0.033453,0.026266,0.030801,0.049826,0.010392,0.085154,0.035852,0.044122,0.052395,0.035659,0.040829,0.057613,0.044444,0.036397,0.040488,0.068969,0.058848,0.050575,0.068217,0.007971,0.042906,0.080262,0.055327,0.05519,0.026801,0.038079,0.041522,0.026329,0.05117,0.034926,0.049736,0.03108,0.02438,0.048509,0.065217,0.044834,0.033769,0.047831,0.039042,0.037257,0.032142,0.052273,0.04151,0.029816
1995-01-01,0.026391,0.048041,0.047286,0.044162,0.04415,0.057746,0.052399,0.022219,0.040565,0.052717,0.054105,0.014975,0.034177,0.045372,0.052411,0.03493,0.034385,0.037613,0.04172,0.050754,0.034392,0.042734,0.048853,0.046185,0.043721,0.044607,0.034731,0.049264,-0.003036,0.044878,0.047111,0.052416,0.050698,0.0425,0.050126,0.043402,0.034125,0.055027,0.04267,0.052184,0.047326,0.010079,0.054411,0.047222,0.060435,0.038447,0.043036,0.036742,0.041608,0.031667,0.03681
1996-01-01,0.020517,0.03648,0.045474,0.046784,0.051553,0.05295,0.043771,0.055526,0.052568,0.041723,0.055245,-0.00528,0.084492,0.039246,0.055386,0.046743,0.059316,0.051652,0.039233,0.05593,0.03813,0.050931,0.042328,0.065684,0.048151,0.050944,0.035703,0.047407,0.113955,0.078011,0.043364,0.048858,0.030796,0.050081,0.048532,0.04296,0.049081,0.05724,0.048523,0.030411,0.049595,0.097945,0.038318,0.053668,0.060675,0.036944,0.044832,0.057497,0.047822,0.039964,0.038993
1997-01-01,0.048644,0.043109,0.038555,0.049629,0.04311,0.048917,0.057213,0.054972,0.031768,0.03903,0.039212,0.022326,0.043681,0.022192,0.049593,0.044395,0.05443,0.05375,0.045999,0.052085,0.046063,0.05349,0.041456,0.045946,0.051526,0.046786,0.038652,0.051696,-0.018069,0.022984,0.064149,0.055034,0.036751,0.032171,0.052344,0.055019,0.048726,0.041013,0.050043,0.052807,0.046624,0.020527,0.043234,0.069851,0.053235,0.053711,0.053734,0.054332,0.055191,0.045314,0.071568
1998-01-01,0.037847,0.054172,0.050902,0.060333,0.071241,0.080642,0.074849,0.067504,0.089631,0.059535,0.071892,0.016532,0.042101,0.060144,0.05335,0.070307,0.050898,0.049792,0.044962,0.056114,0.069952,0.067498,0.057597,0.076625,0.04238,0.049638,0.064789,0.049444,0.098707,0.060571,0.084438,0.057331,0.039446,0.065249,0.052536,0.054508,0.044516,0.040763,0.052979,0.061588,0.05603,0.075052,0.079787,0.067673,0.046069,0.059902,0.070918,0.077445,0.063324,0.044218,0.060352
1999-01-01,0.022331,0.028476,0.030137,0.030501,0.05633,0.046715,0.048913,0.042429,0.056888,0.027983,0.041253,0.037296,0.020121,0.039638,0.03632,0.030554,0.025572,0.0337,0.018504,0.061037,0.048732,0.038784,0.044712,0.037713,0.030385,0.025182,0.013625,0.030451,0.017049,0.040929,0.049723,0.036842,0.009616,0.035719,0.051446,0.027702,0.017311,0.022497,0.040536,0.034154,0.034367,0.040635,0.026504,0.035587,0.035484,0.05555,0.048666,0.048748,0.032349,0.027676,0.066138
2000-01-01,0.068635,0.041295,0.040701,0.056503,0.086672,0.086791,0.085564,0.093803,0.086475,0.06236,0.057975,0.05634,0.063645,0.0626,0.068286,0.057638,0.048193,0.070119,0.05424,0.103949,0.076848,0.065328,0.06118,0.069709,0.059967,0.045791,0.057957,0.047863,0.091162,0.053045,0.108799,0.090394,0.069507,0.051384,0.068785,0.050776,0.077445,0.066382,0.067673,0.067459,0.056487,0.058453,0.048222,0.068086,0.05075,0.067279,0.074148,0.056909,0.0574,0.059856,0.073785
2001-01-01,0.04985,0.032484,0.048832,0.025694,0.022306,0.027752,0.05075,0.032442,0.091896,0.034641,0.032441,0.034414,0.029406,0.026413,0.034289,0.018557,0.031279,0.030183,0.072071,0.034653,0.043179,0.048875,0.014678,0.033047,0.027892,0.054466,0.040379,0.013572,0.025192,0.043562,0.041305,0.027983,0.066293,0.017578,0.033959,0.026846,0.059401,0.018296,0.040344,0.047611,0.024735,0.031279,0.018446,0.047712,0.029178,0.040115,0.058686,0.013769,0.044722,0.065365,0.060797
2002-01-01,0.03498,0.024954,0.018414,0.014065,0.003892,-0.011691,-0.00835,0.00703,0.020126,0.013485,0.013235,0.038936,0.023414,0.018176,0.00918,0.010701,0.005887,0.019128,0.0254,-0.007353,0.026559,0.025155,-0.003225,0.014125,0.017811,0.017364,0.025345,0.002664,0.026573,0.012225,0.00628,0.006594,0.028193,-0.007342,-0.005487,0.013943,0.017295,-0.000521,0.016507,0.03164,0.01864,-0.002395,0.02204,-0.004054,0.012064,0.016352,0.015959,0.007155,0.019278,0.032658,0.019061
2003-01-01,0.036789,0.040084,0.052883,0.038756,0.033601,0.010231,0.005419,0.018926,0.00863,0.031283,0.023898,0.038401,0.018747,0.017776,0.016251,0.018788,0.027757,0.023337,0.026864,0.018747,0.034215,0.040412,0.021964,0.038538,0.031224,0.03698,0.065182,0.030622,0.090672,0.056132,0.009753,0.017625,0.034513,0.029708,0.012117,0.027032,0.045579,0.026566,0.030607,0.044358,0.025649,0.086773,0.034055,0.023575,0.023126,0.048007,0.034879,0.031455,0.021588,0.01216,0.057592
2004-01-01,0.027993,0.063109,0.057112,0.062359,0.050524,0.028656,0.049,0.087172,0.022588,0.060638,0.038208,0.054643,0.077392,0.058342,0.03663,0.041161,0.023944,0.051348,0.036907,0.051895,0.056496,0.044112,0.026386,0.053672,0.044653,0.050998,0.073524,0.06538,0.010822,0.038056,0.052175,0.040275,0.048184,0.061474,0.044709,0.036658,0.073941,0.049351,0.054255,0.047028,0.041057,0.066526,0.047352,0.030521,0.047808,0.053415,0.051825,0.059591,0.038493,0.03322,0.067743
2005-01-01,0.052869,0.049146,0.037707,0.066194,0.047824,0.052191,0.049386,0.054015,0.007466,0.060227,0.040679,0.056559,0.025178,0.032333,0.037233,0.023453,0.051776,0.038316,0.071007,0.043061,0.043261,0.01832,0.020691,0.019631,0.027392,0.056511,0.064386,0.053063,0.058264,0.027018,0.027464,0.032995,0.050354,0.07773,0.0397,0.026307,0.085805,0.036959,0.037665,0.024507,0.044601,0.052179,0.032035,0.065569,0.065641,0.051074,0.018201,0.024594,0.026982,0.047136,0.083127
2006-01-01,0.051265,0.049832,0.047534,0.071851,0.07014,0.05981,0.076886,0.051209,0.040963,0.063605,0.038789,0.05615,0.055105,0.069487,0.061002,0.048732,0.09496,0.047141,0.122022,0.073761,0.045762,0.045404,0.024637,0.040992,0.049727,0.041586,0.068065,0.061474,0.043774,0.038284,0.060935,0.070708,0.05876,0.040362,0.076639,0.048027,0.093094,0.073556,0.045061,0.053693,0.056734,0.04321,0.046737,0.068988,0.081945,0.053389,0.05889,0.06833,0.053451,0.06305,0.12589
2007-01-01,0.066662,0.040046,0.056509,0.03314,0.038983,0.04743,0.07305,0.071754,0.019712,0.030914,0.025048,0.051833,0.063427,0.038887,0.053147,0.028567,0.065996,0.034552,0.076754,0.049692,0.038417,0.036116,0.032953,0.04987,0.040402,0.057678,0.061845,0.0518,0.102083,0.069041,0.036299,0.058417,0.044261,0.01098,0.074497,0.041058,0.024329,0.032939,0.058329,0.048787,0.045503,0.095675,0.033001,0.041133,0.058411,0.044019,0.054249,0.069948,0.040919,0.035614,0.041753
2008-01-01,0.092646,0.028448,0.036119,-0.000449,0.007453,0.02876,0.060075,0.021076,-0.006861,0.000026,-0.00474,0.039354,0.058406,0.007117,0.025861,0.042104,0.08774,0.041264,0.058551,0.037936,0.042375,0.044009,0.033373,0.040121,0.053821,0.044306,0.051062,0.050389,0.122517,0.05518,0.029062,0.029382,0.055758,-0.03085,0.018907,0.036273,0.103147,0.034583,0.036468,0.021646,0.02858,0.066815,0.029179,0.080317,0.026121,0.030963,0.056458,0.037014,0.035579,0.066003,0.083644
